City,ST,Population,Country,Latitude,Longitude
New York,NY,8258035,United States,40.666666666666664,-73.93333333333334
Los Angeles,CA,3820914,United States,34.016666666666666,-118.41666666666667
Chicago,IL,2664452,United States,41.833333333333336,-87.68333333333334
Houston,TX,2314157,United States,29.783333333333335,-95.38333333333334
Phoenix,AZ,1650070,United States,33.56666666666667,-112.08333333333333
Philadelphia,PA,1550542,United States,40.016666666666666,-75.13333333333334
San Antonio,TX,1495295,United States,29.466666666666665,-98.51666666666667
San Diego,CA,1388320,United States,32.81666666666667,-117.13333333333334
Dallas,TX,1302868,United States,32.78333333333333,-96.76666666666667
Jacksonville,FL,985843,United States,30.333333333333332,-81.66666666666667
Austin,TX,979882,United States,30.3,-97.75
Fort Worth,TX,978468,United States,32.78333333333333,-97.35
San Jose,CA,969655,United States,37.3,-121.81666666666666
Columbus,OH,913175,United States,39.983333333333334,-82.98333333333333
Charlotte,NC,911311,United States,35.21666666666667,-80.83333333333333
Indianapolis,IN,879293,United States,39.78333333333333,-86.15
San Francisco,CA,808988,United States,37.733333333333334,-123.03333333333333
Seattle,WA,755078,United States,47.61666666666667,-122.35
Denver,CO,716577,United States,39.766666666666666,-104.88333333333334
Oklahoma City,OK,702767,United States,35.46666666666667,-97.51666666666667
Nashville,TN,687788,United States,36.166666666666664,-86.78333333333333
Washington,DC,678972,United States,38.9,-77.01666666666667
El Paso,TX,678958,United States,31.85,-106.43333333333334
Las Vegas,NV,660929,United States,36.233333333333334,-115.26666666666667
Boston,MA,653833,United States,42.333333333333336,-71.01666666666667
Detroit,MI,633218,United States,42.38333333333333,-83.1
Portland,OR,630498,United States,45.53333333333333,-122.65
Louisville,KY,622981,United States,38.166666666666664,-85.65
Memphis,TN,618639,United States,35.11666666666667,-89.96666666666667
Baltimore,MD,565239,United States,39.3,-76.61666666666666
Milwaukee,WI,561385,United States,43.06666666666667,-87.96666666666667
Albuquerque,NM,560274,United States,35.1,-106.65
Tucson,AZ,547239,United States,32.15,-110.86666666666666
Fresno,CA,545716,United States,36.78333333333333,-119.78333333333333
Sacramento,CA,526384,United States,38.56666666666667,-121.46666666666667
Mesa,AZ,511648,United States,33.4,-111.71666666666667
Atlanta,GA,510823,United States,33.766666666666666,-84.41666666666667
Kansas City,MO,510704,United States,39.11666666666667,-94.56666666666666
Colorado Springs,CO,488664,United States,38.86666666666667,-104.76666666666667
Omaha,NE,483335,United States,41.266666666666666,-96.05
Raleigh,NC,482295,United States,35.833333333333336,-78.63333333333334
Miami,FL,455924,United States,25.783333333333335,-80.21666666666667
Virginia Beach,VA,453649,United States,36.78333333333333,-76.03333333333333
Long Beach,CA,449468,United States,33.78333333333333,-118.16666666666667
Oakland,CA,436504,United States,37.766666666666666,-122.23333333333333
Minneapolis,MN,425115,United States,44.96666666666667,-93.26666666666667
Bakersfield,CA,413381,United States,35.35,-119.03333333333333
Tulsa,OK,411894,United States,36.13333333333333,-95.9
Tampa,FL,403364,United States,27.966666666666665,-82.46666666666667
Arlington,TX,398431,United States,32.7,-97.11666666666666
Wichita,KS,396119,United States,37.68333333333333,-97.35
Aurora,CO,395052,United States,39.7,-104.71666666666667
New Orleans,LA,364136,United States,30.05,-89.93333333333334
